patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,18,1852,102.88888888888889,117390
1,3,3,4.24,19,5674,298.63157894736844,110406
1,4,4,5.66,19,3866,203.47368421052633,101934
1,5,5,7.07,20,9661,483.05,99411
1,6,6,8.49,13,5239,403.0,107974
1,7,7,9.9,11,4840,440.0,108131
1,8,8,11.31,14,7292,520.8571428571429,98455
1,9,9,12.73,13,4398,338.3076923076923,109688
1,10,10,14.14,10,2601,260.1,112578
1,11,11,15.56,9,6151,683.4444444444445,101648
1,12,12,16.97,12,5819,484.9166666666667,120448
1,13,13,18.38,8,1019,127.375,106917
1,14,14,19.8,12,7233,602.75,112234
1,15,15,21.21,13,8124,624.9230769230769,117834
1,16,16,22.63,10,3840,384.0,113505
1,17,17,24.04,15,13463,897.5333333333333,121510
1,18,18,25.46,10,7826,782.6,108447
1,19,19,26.87,3,1203,401.0,113955
1,20,20,28.28,6,3496,582.6666666666666,121942
1,21,21,29.7,10,15337,1533.7,111966
1,22,22,31.11,8,5330,666.25,136171
1,23,23,32.53,6,2535,422.5,122100
1,24,24,33.94,5,3836,767.2,122665
1,25,25,35.36,3,3682,1227.3333333333333,144606
1,26,26,36.77,9,4811,534.5555555555555,123670
1,27,27,38.18,8,8161,1020.125,118997
1,28,28,39.6,4,3810,952.5,107760
1,29,29,41.01,5,3135,627.0,111815
1,30,30,42.43,10,7101,710.1,109479
1,31,31,43.84,6,2729,454.8333333333333,145128
1,32,32,45.25,6,6053,1008.8333333333334,125382
1,33,33,46.67,2,830,415.0,107806
1,34,34,48.08,7,7790,1112.857142857143,116194
1,35,35,49.5,6,10387,1731.1666666666667,123644
1,36,36,50.91,3,6441,2147.0,119935
1,37,37,52.33,4,4154,1038.5,129686
1,38,38,53.74,6,7509,1251.5,110859
1,39,39,55.15,4,3426,856.5,117762
1,40,40,56.57,7,8512,1216.0,131468
1,41,41,57.98,3,4120,1373.3333333333333,124229
1,42,42,59.4,5,2577,515.4,112854
1,43,43,60.81,5,2839,567.8,121169
1,44,44,62.23,1,432,432.0,120366
1,45,45,63.64,4,5684,1421.0,130214
1,46,46,65.05,2,1349,674.5,128307
1,47,47,66.47,4,1902,475.5,132121
1,48,48,67.88,8,7725,965.625,116911
1,49,49,69.3,1,2355,2355.0,132212
1,50,50,70.71,2,1581,790.5,118635
1,51,51,72.12,3,2423,807.6666666666666,116056
1,52,52,73.54,3,2110,703.3333333333334,115214
1,53,53,74.95,3,2871,957.0,138255
1,54,54,76.37,3,6963,2321.0,114975
1,55,55,77.78,2,1614,807.0,135416
1,56,56,79.2,0,0,0.0,130430
1,57,57,80.61,1,692,692.0,121135
1,58,58,82.02,1,1459,1459.0,122181
1,59,59,83.44,2,1868,934.0,124297
1,60,60,84.85,0,0,0.0,118652
1,61,61,86.27,3,2745,915.0,133625
1,62,62,87.68,2,2410,1205.0,122546
1,63,63,89.1,0,0,0.0,122083
1,64,64,90.51,0,0,0.0,136527
1,65,65,91.92,2,5909,2954.5,129505
1,66,66,93.34,0,0,0.0,128428
1,67,67,94.75,2,3329,1664.5,132915
1,68,68,96.17,2,2588,1294.0,132912
1,69,69,97.58,0,0,0.0,152094
1,70,70,98.99,1,1045,1045.0,113085
1,71,71,100.41,1,1261,1261.0,125595
1,72,72,101.82,1,1776,1776.0,123463
1,73,73,103.24,1,990,990.0,124893
1,74,74,104.65,1,3541,3541.0,132953
1,75,75,106.07,0,0,0.0,146787
1,76,76,107.48,0,0,0.0,120793
1,77,77,108.89,0,0,0.0,116760
1,78,78,110.31,0,0,0.0,137016
1,79,79,111.72,0,0,0.0,130979
1,80,80,113.14,0,0,0.0,129196
1,81,81,114.55,1,1523,1523.0,137668
1,82,82,115.97,0,0,0.0,151033
1,83,83,117.38,0,0,0.0,110389
1,84,84,118.79,0,0,0.0,122855
1,85,85,120.21,1,428,428.0,110309
1,86,86,121.62,0,0,0.0,130256
1,87,87,123.04,0,0,0.0,123129
1,88,88,124.45,0,0,0.0,138030
1,89,89,125.87,0,0,0.0,117279
1,90,90,127.28,0,0,0.0,107440
1,91,91,128.69,0,0,0.0,129424
1,92,92,130.11,0,0,0.0,136834
1,93,93,131.52,0,0,0.0,130291
1,94,94,132.94,0,0,0.0,121186
1,95,95,134.35,0,0,0.0,133353
1,96,96,135.76,0,0,0.0,122148
1,97,97,137.18,0,0,0.0,134894
1,98,98,138.59,0,0,0.0,133082
1,99,99,140.01,0,0,0.0,124631
2,3,3,2.83,42,9812,233.61904761904762,76678
2,4,4,4.24,34,13226,389.0,84197
2,5,5,5.66,31,7322,236.19354838709677,86590
2,6,6,7.07,27,6210,230.0,88739
2,7,7,8.49,32,10550,329.6875,98945
2,8,8,9.9,25,10706,428.24,99255
2,9,9,11.31,24,12895,537.2916666666666,119850
2,10,10,12.73,24,12435,518.125,106247
2,11,11,14.14,26,10841,416.96153846153845,91461
2,12,12,15.56,20,10680,534.0,114039
2,13,13,16.97,16,6972,435.75,98260
2,14,14,18.38,18,5438,302.1111111111111,98877
2,15,15,19.8,18,8863,492.3888888888889,111589
2,16,16,21.21,16,7356,459.75,108195
2,17,17,22.63,17,6371,374.7647058823529,99732
2,18,18,24.04,17,10911,641.8235294117648,99485
2,19,19,25.46,11,4916,446.90909090909093,119385
