patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1,2,2,2.83,37,5109,138.0810810810811,181831
1,3,3,4.24,30,17571,585.7,205205
1,4,4,5.66,33,22655,686.5151515151515,190280
1,5,5,7.07,20,6933,346.65,241491
1,6,6,8.49,26,24969,960.3461538461538,223113
1,7,7,9.9,22,17478,794.4545454545455,206655
1,8,8,11.31,22,25574,1162.4545454545455,241584
1,9,9,12.73,23,46602,2026.1739130434783,226482
1,10,10,14.14,18,16643,924.6111111111111,214183
1,11,11,15.56,24,41522,1730.0833333333333,231910
1,12,12,16.97,16,14848,928.0,221316
1,13,13,18.38,9,2719,302.1111111111111,241658
1,14,14,19.8,18,36673,2037.388888888889,265980
1,15,15,21.21,11,11112,1010.1818181818181,253334
1,16,16,22.63,20,37615,1880.75,273675
1,17,17,24.04,17,19926,1172.1176470588234,210574
1,18,18,25.46,15,18553,1236.8666666666666,250411
1,19,19,26.87,11,14390,1308.1818181818182,240431
1,20,20,28.28,17,17350,1020.5882352941177,239856
1,21,21,29.7,8,4558,569.75,268953
1,22,22,31.11,11,25137,2285.181818181818,220664
1,23,23,32.53,19,35446,1865.578947368421,242283
1,24,24,33.94,10,15055,1505.5,236371
1,25,25,35.36,19,37384,1967.578947368421,276090
1,26,26,36.77,7,12031,1718.7142857142858,265505
1,27,27,38.18,10,14398,1439.8,256574
1,28,28,39.6,5,8952,1790.4,258709
1,29,29,41.01,10,18763,1876.3,264548
1,30,30,42.43,12,21344,1778.6666666666667,245527
1,31,31,43.84,8,9426,1178.25,272601
1,32,32,45.25,8,11110,1388.75,229380
1,33,33,46.67,9,8727,969.6666666666666,246481
1,34,34,48.08,9,18908,2100.8888888888887,273810
1,35,35,49.5,10,22534,2253.4,286098
1,36,36,50.91,10,23129,2312.9,275768
1,37,37,52.33,7,15534,2219.1428571428573,241285
1,38,38,53.74,6,11200,1866.6666666666667,287008
1,39,39,55.15,3,7108,2369.3333333333335,252371
1,40,40,56.57,11,20549,1868.090909090909,257885
1,41,41,57.98,6,6001,1000.1666666666666,271958
1,42,42,59.4,6,15277,2546.1666666666665,294991
1,43,43,60.81,6,14037,2339.5,245647
1,44,44,62.23,12,22727,1893.9166666666667,228131
1,45,45,63.64,5,12520,2504.0,269784
1,46,46,65.05,5,11545,2309.0,285210
1,47,47,66.47,4,9747,2436.75,299653
1,48,48,67.88,2,7167,3583.5,267036
1,49,49,69.3,1,4448,4448.0,227411
1,50,50,70.71,3,2540,846.6666666666666,250185
1,51,51,72.12,1,780,780.0,285232
1,52,52,73.54,2,6463,3231.5,256057
1,53,53,74.95,3,9796,3265.3333333333335,250232
1,54,54,76.37,5,9717,1943.4,312675
1,55,55,77.78,2,4651,2325.5,301443
1,56,56,79.2,1,3903,3903.0,256655
1,57,57,80.61,6,9658,1609.6666666666667,250865
1,58,58,82.02,4,10288,2572.0,274139
1,59,59,83.44,4,11699,2924.75,279120
1,60,60,84.85,2,10425,5212.5,261167
1,61,61,86.27,1,3396,3396.0,266175
1,62,62,87.68,4,14666,3666.5,262984
1,63,63,89.1,3,7591,2530.3333333333335,282211
1,64,64,90.51,4,14528,3632.0,292703
1,65,65,91.92,3,7657,2552.3333333333335,290614
1,66,66,93.34,4,6285,1571.25,305550
1,67,67,94.75,3,7209,2403.0,285777
1,68,68,96.17,2,3172,1586.0,274215
1,69,69,97.58,2,7615,3807.5,257338
1,70,70,98.99,5,25610,5122.0,276683
1,71,71,100.41,2,2772,1386.0,293070
1,72,72,101.82,1,4097,4097.0,300952
1,73,73,103.24,0,0,0.0,282855
1,74,74,104.65,0,0,0.0,280799
1,75,75,106.07,0,0,0.0,257727
1,76,76,107.48,1,5946,5946.0,275004
1,77,77,108.89,1,2045,2045.0,246069
1,78,78,110.31,0,0,0.0,261169
1,79,79,111.72,0,0,0.0,279293
