patch-size,x-offset,y-offset,distance,tally
1,2,2,2.83,48
1,3,3,4.24,42
1,4,4,5.66,42
1,5,5,7.07,32
1,6,6,8.49,38
1,7,7,9.9,30
1,8,8,11.31,32
1,9,9,12.73,27
1,10,10,14.14,38
1,11,11,15.56,25
1,12,12,16.97,24
1,13,13,18.38,26
1,14,14,19.8,18
1,15,15,21.21,23
1,16,16,22.63,28
1,17,17,24.04,18
1,18,18,25.46,16
1,19,19,26.87,17
1,20,20,28.28,15
1,21,21,29.7,9
1,22,22,31.11,18
1,23,23,32.53,21
1,24,24,33.94,17
1,25,25,35.36,16
1,26,26,36.77,11
1,27,27,38.18,4
1,28,28,39.6,14
1,29,29,41.01,15
1,30,30,42.43,12
1,31,31,43.84,13
1,32,32,45.25,13
1,33,33,46.67,11
1,34,34,48.08,9
1,35,35,49.5,7
1,36,36,50.91,13
1,37,37,52.33,12
1,38,38,53.74,7
1,39,39,55.15,3
1,40,40,56.57,2
1,41,41,57.98,6
1,42,42,59.4,7
1,43,43,60.81,6
1,44,44,62.23,4
1,45,45,63.64,6
1,46,46,65.05,5
1,47,47,66.47,10
1,48,48,67.88,7
1,49,49,69.3,8
1,50,50,70.71,2
1,51,51,72.12,7
1,52,52,73.54,11
1,53,53,74.95,3
1,54,54,76.37,5
1,55,55,77.78,3
1,56,56,79.2,4
1,57,57,80.61,4
1,58,58,82.02,5
1,59,59,83.44,3
1,60,60,84.85,4
1,61,61,86.27,2
1,62,62,87.68,2
1,63,63,89.1,2
1,64,64,90.51,1
1,65,65,91.92,2
1,66,66,93.34,1
1,67,67,94.75,3
1,68,68,96.17,4
1,69,69,97.58,4
1,70,70,98.99,5
1,71,71,100.41,3
1,72,72,101.82,0
1,73,73,103.24,0
1,74,74,104.65,0
1,75,75,106.07,1
1,76,76,107.48,0
1,77,77,108.89,0
1,78,78,110.31,0
1,79,79,111.72,2
1,80,80,113.14,0
1,81,81,114.55,0
1,82,82,115.97,1
1,83,83,117.38,0
1,84,84,118.79,0
1,85,85,120.21,0
1,86,86,121.62,0
1,87,87,123.04,0
1,88,88,124.45,1
1,89,89,125.87,0
1,90,90,127.28,0
1,91,91,128.69,0
1,92,92,130.11,1
1,93,93,131.52,0
1,94,94,132.94,0
1,95,95,134.35,1
1,96,96,135.76,0
1,97,97,137.18,0
1,98,98,138.59,0
1,99,99,140.01,0
2,3,3,2.83,75
2,4,4,4.24,60
2,5,5,5.66,49
2,6,6,7.07,52
2,7,7,8.49,43
2,8,8,9.9,49
2,9,9,11.31,50
2,10,10,12.73,42
2,11,11,14.14,41
2,12,12,15.56,34
2,13,13,16.97,32
2,14,14,18.38,26
2,15,15,19.8,34
2,16,16,21.21,29
2,17,17,22.63,38
2,18,18,24.04,31
2,19,19,25.46,28
2,20,20,26.87,29
2,21,21,28.28,20
2,22,22,29.7,32
2,23,23,31.11,24
2,24,24,32.53,19
2,25,25,33.94,15
2,26,26,35.36,18
2,27,27,36.77,22
2,28,28,38.18,14
2,29,29,39.6,19
2,30,30,41.01,15
2,31,31,42.43,20
2,32,32,43.84,16
2,33,33,45.25,13
2,34,34,46.67,21
2,35,35,48.08,15
2,36,36,49.5,15
2,37,37,50.91,11
2,38,38,52.33,10
2,39,39,53.74,10
2,40,40,55.15,10
2,41,41,56.57,15
2,42,42,57.98,6
2,43,43,59.4,4
2,44,44,60.81,10
2,45,45,62.23,13
2,46,46,63.64,8
2,47,47,65.05,5
2,48,48,66.47,6
2,49,49,67.88,7
2,50,50,69.3,10
2,51,51,70.71,5
2,52,52,72.12,7
2,53,53,73.54,11
2,54,54,74.95,7
2,55,55,76.37,8
2,56,56,77.78,10
2,57,57,79.2,5
2,58,58,80.61,3
2,59,59,82.02,5
2,60,60,83.44,2
2,61,61,84.85,5
2,62,62,86.27,0
2,63,63,87.68,5
2,64,64,89.1,3
2,65,65,90.51,2
2,66,66,91.92,2
2,67,67,93.34,2
2,68,68,94.75,5
2,69,69,96.17,1
2,70,70,97.58,6
2,71,71,98.99,2
2,72,72,100.41,3
2,73,73,101.82,2
2,74,74,103.24,5
2,75,75,104.65,4
2,76,76,106.07,4
2,77,77,107.48,1
2,78,78,108.89,2
2,79,79,110.31,3
2,80,80,111.72,1
2,81,81,113.14,0
2,82,82,114.55,0
2,83,83,115.97,3
2,84,84,117.38,1
2,85,85,118.79,1
2,86,86,120.21,1
2,87,87,121.62,0
2,88,88,123.04,1
2,89,89,124.45,0
2,90,90,125.87,1
2,91,91,127.28,0
2,92,92,128.69,0
2,93,93,130.11,1
2,94,94,131.52,3
2,95,95,132.94,0
2,96,96,134.35,0
2,97,97,135.76,0
2,98,98,137.18,1
2,99,99,138.59,0
3,4,4,2.83,63
3,5,5,4.24,69
3,6,6,5.66,54
3,7,7,7.07,57
3,8,8,8.49,53
3,9,9,9.9,49
3,10,10,11.31,40
3,11,11,12.73,39
3,12,12,14.14,40
3,13,13,15.56,30
3,14,14,16.97,38
3,15,15,18.38,37
3,16,16,19.8,32
3,17,17,21.21,32
3,18,18,22.63,29
3,19,19,24.04,42
3,20,20,25.46,31
3,21,21,26.87,27
3,22,22,28.28,29
3,23,23,29.7,18
3,24,24,31.11,36
3,25,25,32.53,38
3,26,26,33.94,19
3,27,27,35.36,22
3,28,28,36.77,22
3,29,29,38.18,26
3,30,30,39.6,17
3,31,31,41.01,16
3,32,32,42.43,22
3,33,33,43.84,20
3,34,34,45.25,12
3,35,35,46.67,19
3,36,36,48.08,15
3,37,37,49.5,13
3,38,38,50.91,10
3,39,39,52.33,18
3,40,40,53.74,22
3,41,41,55.15,10
3,42,42,56.57,9
3,43,43,57.98,11
3,44,44,59.4,8
3,45,45,60.81,9
3,46,46,62.23,13
3,47,47,63.64,11
3,48,48,65.05,4
3,49,49,66.47,6
3,50,50,67.88,12
3,51,51,69.3,12
3,52,52,70.71,11
3,53,53,72.12,12
3,54,54,73.54,11
3,55,55,74.95,3
3,56,56,76.37,3
3,57,57,77.78,10
3,58,58,79.2,8
3,59,59,80.61,7
3,60,60,82.02,6
3,61,61,83.44,4
3,62,62,84.85,6
3,63,63,86.27,6
3,64,64,87.68,4
3,65,65,89.1,5
3,66,66,90.51,2
3,67,67,91.92,5
3,68,68,93.34,4
3,69,69,94.75,4
3,70,70,96.17,3
3,71,71,97.58,1
3,72,72,98.99,5
3,73,73,100.41,3
3,74,74,101.82,2
3,75,75,103.24,5
3,76,76,104.65,4
3,77,77,106.07,3
3,78,78,107.48,2
3,79,79,108.89,1
3,80,80,110.31,3
3,81,81,111.72,2
3,82,82,113.14,3
3,83,83,114.55,1
3,84,84,115.97,1
3,85,85,117.38,0
3,86,86,118.79,1
3,87,87,120.21,0
3,88,88,121.62,0
3,89,89,123.04,0
3,90,90,124.45,1
3,91,91,125.87,0
3,92,92,127.28,2
3,93,93,128.69,0
3,94,94,130.11,0
3,95,95,131.52,0
3,96,96,132.94,1
3,97,97,134.35,1
3,98,98,135.76,0
3,99,99,137.18,0
4,5,5,2.83,70
4,6,6,4.24,72
4,7,7,5.66,59
4,8,8,7.07,56
4,9,9,8.49,51
4,10,10,9.9,63
4,11,11,11.31,51
4,12,12,12.73,40
4,13,13,14.14,40
4,14,14,15.56,40
4,15,15,16.97,39
4,16,16,18.38,42
4,17,17,19.8,39
4,18,18,21.21,47
4,19,19,22.63,31
4,20,20,24.04,34
4,21,21,25.46,39
4,22,22,26.87,27
4,23,23,28.28,31
4,24,24,29.7,34
4,25,25,31.11,24
4,26,26,32.53,34
4,27,27,33.94,28
4,28,28,35.36,29
4,29,29,36.77,24
4,30,30,38.18,30
4,31,31,39.6,26
4,32,32,41.01,17
4,33,33,42.43,15
4,34,34,43.84,15
4,35,35,45.25,19
4,36,36,46.67,20
4,37,37,48.08,22
4,38,38,49.5,16
4,39,39,50.91,18
4,40,40,52.33,14
4,41,41,53.74,17
4,42,42,55.15,23
4,43,43,56.57,21
4,44,44,57.98,14
4,45,45,59.4,10
4,46,46,60.81,7
4,47,47,62.23,15
4,48,48,63.64,17
