patch-size,x-offset,y-offset,distance,tally,step_sum,avg,total_steps
1.0,2.0,2.0,2.83,48.0,33757.0,703.2708333333334,365389.0
1.0,3.0,3.0,4.24,42.0,49304.0,1173.904761904762,398298.0
1.0,4.0,4.0,5.66,42.0,57460.0,1368.095238095238,461717.0
1.0,5.0,5.0,7.07,32.0,26649.0,832.78125,443386.0
1.0,6.0,6.0,8.49,38.0,54868.0,1443.8947368421052,454647.0
1.0,7.0,7.0,9.9,30.0,61702.0,2056.733333333333,532088.0
1.0,8.0,8.0,11.31,32.0,61123.0,1910.09375,503025.0
1.0,9.0,9.0,12.73,27.0,52502.0,1944.5185185185185,555569.0
1.0,10.0,10.0,14.14,38.0,63882.0,1681.1052631578948,517027.0
1.0,11.0,11.0,15.56,25.0,60945.0,2437.8,535726.0
1.0,12.0,12.0,16.97,24.0,49659.0,2069.125,549654.0
1.0,13.0,13.0,18.38,26.0,63348.0,2436.4615384615386,515765.0
1.0,14.0,14.0,19.8,18.0,44770.0,2487.222222222222,633954.0
1.0,15.0,15.0,21.21,23.0,52173.0,2268.391304347826,576619.0
1.0,16.0,16.0,22.63,28.0,92810.0,3314.6428571428573,533215.0
1.0,17.0,17.0,24.04,18.0,26601.0,1477.8333333333333,536887.0
1.0,18.0,18.0,25.46,16.0,29992.0,1874.5,622367.0
1.0,19.0,19.0,26.87,17.0,47700.0,2805.8823529411766,641306.0
1.0,20.0,20.0,28.28,15.0,38054.0,2536.9333333333334,577011.0
1.0,21.0,21.0,29.7,9.0,29670.0,3296.6666666666665,644876.0
1.0,22.0,22.0,31.11,18.0,44633.0,2479.6111111111113,589480.0
1.0,23.0,23.0,32.53,21.0,71487.0,3404.1428571428573,548250.0
1.0,24.0,24.0,33.94,17.0,69405.0,4082.6470588235293,609790.0
1.0,25.0,25.0,35.36,16.0,41132.0,2570.75,617927.0
1.0,26.0,26.0,36.77,11.0,48777.0,4434.272727272727,643949.0
1.0,27.0,27.0,38.18,4.0,11322.0,2830.5,647091.0
1.0,28.0,28.0,39.6,14.0,41706.0,2979.0,619552.0
1.0,29.0,29.0,41.01,15.0,59635.0,3975.6666666666665,614133.0
1.0,30.0,30.0,42.43,12.0,44480.0,3706.6666666666665,621053.0
1.0,31.0,31.0,43.84,13.0,52008.0,4000.6153846153848,640966.0
1.0,32.0,32.0,45.25,13.0,38014.0,2924.153846153846,651295.0
1.0,33.0,33.0,46.67,11.0,47193.0,4290.272727272727,576191.0
1.0,34.0,34.0,48.08,9.0,48189.0,5354.333333333333,690020.0
1.0,35.0,35.0,49.5,7.0,16400.0,2342.8571428571427,658368.0
1.0,36.0,36.0,50.91,13.0,45416.0,3493.5384615384614,639510.0
1.0,37.0,37.0,52.33,12.0,48843.0,4070.25,625733.0
1.0,38.0,38.0,53.74,7.0,26252.0,3750.285714285714,704516.0
1.0,39.0,39.0,55.15,3.0,9555.0,3185.0,641608.0
1.0,40.0,40.0,56.57,2.0,4554.0,2277.0,676936.0
1.0,41.0,41.0,57.98,6.0,30080.0,5013.333333333333,686302.0
1.0,42.0,42.0,59.4,7.0,32298.0,4614.0,723063.0
1.0,43.0,43.0,60.81,6.0,24919.0,4153.166666666667,650537.0
1.0,44.0,44.0,62.23,4.0,7362.0,1840.5,672737.0
1.0,45.0,45.0,63.64,6.0,34079.0,5679.833333333333,667870.0
1.0,46.0,46.0,65.05,5.0,18704.0,3740.8,682157.0
1.0,47.0,47.0,66.47,10.0,48688.0,4868.8,684762.0
1.0,48.0,48.0,67.88,7.0,29193.0,4170.428571428572,670005.0
